기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),일사(MJ/m2),3시간신적설(cm),전운량(10분위),시간,노면상태
5.3,0.0,3.0,56.0,5.0,-2.7,0.0,0.0,6.0,3,0.0
7.4,0.05,3.5,57.0,5.9,-0.5,0.29,0.0,8.0,16,0.0
6.7,0.0,2.9,54.0,5.3,-1.9,0.32,0.0,7.0,18,0.0
6.9,0.0,1.9,53.0,5.3,-2.0,1.34,0.0,8.0,12,0.0
9.0,0.0,2.0,56.0,6.4,0.6,1.11,0.0,7.0,11,0.0
4.4,0.0,3.2,54.0,4.966666666666667,-2.8000000000000003,1.16,0.0,0.3333333333333333,10,0.0
-1.5,0.0,4.1,59.0,3.2,-8.4,0.7,0.0,2.0,10,0.0
0.0,0.0,1.3,58.0,3.6,-7.2,0.0,0.0,9.0,4,0.0
-0.7,0.0,2.3,57.0,3.3,-8.1,1.26,0.0,2.0,11,0.0
4.1,0.0,1.4,59.0,4.933333333333334,-3.133333333333333,0.0,0.0,2.0,22,0.0
6.4,0.0,1.5,53.0,5.2,-2.2,0.98,0.0,8.0,12,0.0
0.3,0.0166666666666666,3.4,61.0,3.8,-6.3,0.44,0.0166666666666666,9.0,16,0.0
3.8,0.0,5.0,55.0,4.4,-4.4,0.84,0.0,3.0,17,0.0
5.6,0.0,0.4,55.0,5.0,-2.7,0.0,0.0,10.0,4,0.0
-1.3,0.0,2.2,61.0,3.4,-7.8,0.0,0.0,6.666666666666666,19,0.0
-1.7,0.0,2.0,61.0,3.3,-8.2,0.61,0.0,4.0,10,0.0
-1.0,0.0,2.0,59.0,3.3,-8.0,0.43,0.0,0.0,9,0.0
4.6,0.0,4.6,54.0,4.6,-3.9,0.83,0.0,8.0,16,0.0
2.9,0.0,2.7,56.0,4.2,-5.0,0.0,0.0,8.0,3,0.0
-0.1,0.0,1.8,58.0,3.5,-7.3,0.0,0.0,0.0,6,0.0
8.9,0.0333333333333333,2.3,55.0,6.2,0.3,0.19,0.0,9.0,17,0.0
-0.3,0.0,1.9,60.0,3.6,-7.1,0.0,0.0,0.0,19,0.0
0.1,0.0,0.8,57.0,3.5,-7.4,0.01,0.0,0.0,8,0.0
1.4,0.0,1.5,58.0,3.9,-5.9,0.0,0.0,10.0,23,0.0
7.2,0.0,2.1,57.0,5.8,-0.7,0.0,0.0,4.0,4,0.0
-1.5,0.0,2.2,58.0,3.2,-8.7,0.38,0.0,3.8181818181818175,10,0.0
1.1,0.0,2.7,55.0,3.6,-6.9,0.52,0.0,6.0,10,0.0
3.1,0.0,3.1,60.0,4.6,-3.9,0.0,0.0,3.0,21,0.0
1.1,0.0,0.7,58.0,3.8,-6.2,0.0,0.0,0.0,20,0.0
9.5,0.0,2.9,55.0,6.5,0.8,0.75,0.0,2.0,15,0.0
5.2,0.0,2.0,59.0,5.2,-2.1,1.11,0.0,0.0,11,0.0
3.3,0.0,2.8,60.0,4.6,-3.7,0.0,0.0,0.0,19,0.0
3.0,0.0,2.8,54.0,4.1,-5.366666666666666,0.74,0.0,4.333333333333333,10,0.0
3.7,0.0,2.1,57.0,4.5,-4.0,0.0,0.0,0.0,22,0.0
4.0,0.0166666666666666,3.5,56.0,4.5,-4.0,0.0,0.0,8.5,22,0.0
4.7,0.0,2.2,58.0,5.0,-2.8,0.0,0.0,7.333333333333333,23,0.0
0.2,0.0,0.3,60.0,3.7,-6.6,0.0,0.0,9.0,7,0.0
3.6,0.0,2.0,60.0,4.8,-3.4,1.63,0.0,6.0,12,0.0
3.8,0.0,3.3,59.0,4.8,-3.4,0.0,0.0,9.0,21,0.0
0.7,0.0,3.4,60.0,3.9,-6.1,0.0,0.0,0.0,21,0.0
5.7,0.0,7.0,56.0,5.1,-2.4,0.0,0.0,10.0,22,0.0
4.7,0.0,3.4,59.0,5.0,-2.6,0.0,0.0,0.0,20,0.0
-1.0,0.0,2.2,60.0,3.4,-7.7,0.86,0.0,0.0,10,0.0
3.2,0.0,2.5,55.0,4.3,-4.7,0.0,0.0,10.0,18,0.0
1.1,0.0,2.1,57.0,3.2666666666666666,-8.766666666666666,0.07,0.0,10.0,17,0.0
1.8,0.0,3.1,57.0,4.0,-5.8,0.0,0.0,0.0,19,0.0
0.3,0.0,1.2,61.0,3.833333333333333,-6.233333333333333,0.0,0.0,5.666666666666667,20,0.0
-0.5,0.0,1.9,59.0,3.5,-7.5,0.0,0.0,2.0,6,0.0
1.8,0.0,1.7,58.0,4.0,-5.6,0.0,0.0,0.0,5,0.0
2.2,0.0,0.7,55.0,3.9,-5.9,0.34,0.0,0.0,9,0.0
5.8,0.0,3.9,58.0,5.4,-1.8,0.02,0.0,8.0,19,0.0
0.2,0.0,2.3,61.0,3.8,-6.4,0.0,0.0,8.0,20,0.0
8.4,0.0,3.7,56.0,6.2,0.1,0.25,0.0,4.0,18,0.0
1.0,0.0,2.0,58.0,3.8,-6.3,0.0,0.0,0.0,20,0.0
2.4,0.0,1.0,60.0,4.4,-4.5,0.44,0.0,9.0,10,0.0
1.0,0.0,2.8,55.0,3.6,-7.0,0.56,0.0,9.0,11,0.0
-1.4,0.0,1.6,61.0,3.4,-7.9,1.01,0.0,6.0,10,0.0
6.2,0.0999999999999999,2.0,58.0,5.5,-1.4,0.13,0.0,9.0,16,0.0
0.8,0.0,2.0,56.0,3.6,-6.9,0.0,0.0,8.0,4,0.0
4.0,0.0,1.1,58.0,4.9,-3.0,0.0,0.0,0.0,23,0.0
3.7,0.0,4.4,60.0,4.8,-3.3,0.02,0.0,3.333333333333333,19,0.0
2.9,0.0,2.0,57.0,4.3,-4.7,0.0,0.0,0.0,21,0.0
0.7,0.0,2.3,57.0,3.7,-6.8,0.0,0.0,4.0,19,0.0
2.3,0.0,1.3,59.0,4.2,-4.9,0.0,0.0,0.0,23,0.0
2.8,0.0,0.0,58.0,4.3,-4.6,0.0,0.0,2.0,4,0.0
9.5,0.0,1.3,54.0,6.4,0.6,0.76,0.0,8.0,15,0.0
-1.9,0.0,0.9,59.0,3.1,-8.8,0.0,0.0,8.0,7,0.0
0.6,0.0,1.9,60.0,3.8,-6.2,0.0,0.0,0.0,21,0.0
-0.6,0.0,3.7,59.0,3.5,-7.6,0.0,0.0,2.0,6,0.0
-0.8,0.0,1.2,60.0,3.5,-7.6,0.0,0.0,8.0,21,0.0
5.5,0.0,3.6,57.0,5.2,-2.3,0.0,0.0,8.0,23,0.0
4.4,0.0,1.4,59.0,4.9,-2.9,0.0,0.0,0.0,21,0.0
5.2,0.0,0.8,59.0,5.2,-2.1,0.68,0.0,4.0,9,0.0
-0.5,0.0,4.8,58.0,3.4,-7.7,0.0,0.0,1.0,7,0.0
3.1,0.0,0.8,58.0,4.4,-4.3,0.0,0.0,0.0,5,0.0
9.0,0.0,1.7,53.0,6.1,0.0,0.59,0.0,9.0,14,0.0
0.4,0.05,4.0,61.0,3.8,-6.2,0.75,0.0,7.0,13,0.0
2.3,0.0,2.5,59.0,4.2,-4.9,0.0,0.0,10.0,23,0.0
5.5,0.05,2.2,54.0,4.9,-3.0,0.04,0.0,10.0,18,0.0
3.9,0.0,0.6,54.0,4.4,-4.5,0.29,0.0,8.4,15,0.0
2.8,0.0,1.0,54.0,4.0,-5.6,0.27,0.0,9.0,10,0.0
2.7,0.0,0.7,54.0,4.1,-5.633333333333334,1.14,0.0,8.0,10,0.0
8.4,0.0,1.8,53.0,5.8,-0.6,1.45,0.0,6.0,12,0.0
7.2,0.0,3.0,56.0,5.7,-1.0,0.0,0.0,7.0,21,0.0
2.3,0.0,1.1,57.0,4.1,-5.3,0.0,0.0,0.0,20,0.0
2.2,0.0,1.1,59.0,4.2,-4.9,0.0,0.0,0.0,23,0.0
0.2,0.0,0.9,59.0,3.7,-6.8,0.0,0.0,0.0,7,0.0
1.8,0.0,4.0,60.0,4.2,-5.1,0.1,0.0,10.0,9,0.0
-0.1,0.0,3.1,59.0,3.6,-7.1,0.04,0.0,0.0,7,0.0
0.5,0.0,1.7,60.0,3.8,-6.3,0.0,0.0,0.0,21,0.0
2.4,0.0,2.9,60.0,4.4,-4.5,0.0,0.0,0.0,22,0.0
-1.8,0.0,3.3,60.0,3.2,-8.5,0.05,0.0,3.0,8,0.0
7.7,0.0,2.8,54.0,5.7,-1.0,0.07,0.0,10.0,18,0.0
6.6,0.0,2.1,58.0,5.7,-1.0,0.32,0.0,9.0,10,0.0
3.5,0.05,2.7,60.0,4.7,-3.5,0.3,0.0,10.0,15,0.0
1.4,0.0,4.6,57.0,3.8,-6.2,0.0,0.0,3.666666666666667,20,0.0
-0.8,0.0,2.1,60.0,3.5,-7.6,0.0,0.0,9.0,21,0.0
4.9,0.0,3.2,59.0,5.1,-2.4,0.0,0.0,9.0,17,0.0
6.1,0.0,3.3,58.0,5.5,-1.5,0.0,0.0,2.0,6,0.0
-0.9,0.05,4.2,59.0,3.4,-7.9,0.0,0.0,10.0,19,0.0
1.6,0.0,1.6,60.0,4.1,-5.3,0.0,0.0,7.333333333333333,23,0.0
6.0,0.0,1.3,55.0,5.2,-2.1,0.0,0.0,9.0,21,0.0
-0.3,0.0,0.8,59.0,3.5,-7.3,0.0,0.0,8.0,5,0.0
-1.2,0.0,1.7,57.0,3.2,-8.6,0.07,0.0,6.0,8,0.0
0.1,0.0,1.2,60.0,3.7,-6.7,0.11,0.0,1.0,8,0.0
7.9,0.0,5.4,55.0,5.8,-0.6,0.0,0.0,9.666666666666666,19,0.0
0.3,0.0,6.4,61.0,3.8,-6.3,0.0,0.0,8.0,18,0.0
1.2,0.0,5.1,59.0,3.9,-5.9,0.0,0.0,3.333333333333333,23,0.0
4.8,0.0333333333333333,2.3,54.0,4.6,-3.7,0.1,0.0,9.0,17,0.0
3.7,0.0,2.5,59.0,4.7,-3.5,0.0,0.0,0.0,23,0.0
4.5,0.0,2.3,57.0,4.9,-3.033333333333333,0.0,0.0,0.0,4,0.0
6.4,0.0,3.5,53.0,5.433333333333334,-1.6,0.87,0.0,7.666666666666667,14,0.0
0.7,0.05,4.3,56.0,3.6,-7.0,0.0,0.0,2.0,6,0.0
8.9,0.0,3.1,56.0,6.3,0.5,0.86,0.0,7.0,15,0.0
5.5,0.0,2.4,55.0,4.966666666666667,-2.833333333333333,0.0,0.0,5.333333333333333,4,0.0
6.2,0.0,1.9,58.0,5.5,-1.4,0.0,0.0,7.0,6,0.0
-1.6,0.2333333333333333,2.3,60.0,3.3,-8.3,0.0,0.3,8.5,19,0.0
4.0,0.0,3.2,59.0,4.8,-3.3,0.0,0.0,6.0,6,0.0
2.5,0.0,2.4,60.0,4.5,-4.266666666666667,0.15,0.0,9.0,10,0.0
-0.2,0.0,2.3,57.0,3.4,-7.7,0.49,0.0,0.0,9,0.0
-0.9,0.0,1.5,59.0,3.4,-7.9,0.0,0.0,2.0,6,0.0
3.9,0.0,1.0,60.0,4.9,-3.1,0.0,0.0,4.0,18,0.0
3.6,0.0,2.6,60.0,4.8,-3.4,0.15,0.0,0.0,18,0.0
-0.5,0.0,2.6,59.0,3.5,-7.5,0.0,0.0,8.0,5,0.0
8.7,0.0,2.7,56.0,6.2,0.3,0.08,0.0,2.0,17,0.0
3.2,0.0,2.1,60.0,4.633333333333333,-3.8,0.53,0.0,5.333333333333334,10,0.0
4.2,0.0,0.6,58.0,4.8,-3.3,0.0,0.0,0.0,5,0.0
10.0,0.0,2.1,54.0,6.6,1.1,2.09,0.0,8.0,14,0.0
1.2,0.0,2.4,60.0,4.0,-5.7,0.0,0.0,8.0,7,0.0
-0.5,0.0,2.5,58.0,3.4,-7.7,0.0,0.0,4.0,4,0.0
4.8,0.0,2.0,56.0,4.8,-3.2,0.0,0.0,0.0,21,0.0
0.7,0.0,4.4,58.0,3.7,-6.6,0.0,0.0,9.0,22,0.0
0.8,0.0,2.5,61.0,4.0,-5.8,1.25,0.0,2.0,16,0.0
5.3,0.0,2.1,59.0,5.3,-2.0,0.4,0.0,3.0,9,0.0
0.4,0.0,2.6,58.0,3.7,-6.766666666666667,0.0,0.0,0.0,19,0.0
-0.4,0.0,1.8,59.0,3.5,-7.4,0.0,0.0,0.0,7,0.0
4.9,0.0,2.3,59.0,5.1,-2.4,0.0,0.0,3.0,20,0.0
3.9,0.0,0.6,55.0,4.4,-4.3,0.0,0.0,0.0,7,0.0
5.2,0.0,3.4,59.0,5.2,-2.1,0.69,0.0,10.0,13,0.0
6.4,0.0,1.4,56.0,5.4,-1.7,0.0,0.0,8.0,22,0.0
-1.1,0.0,2.8,59.0,3.3,-8.1,0.0,0.0,5.333333333333334,19,0.0
-1.2,0.0,1.4,57.0,3.2666666666666666,-8.533333333333333,0.01,0.0,4.666666666666667,8,0.0
6.7,0.0,2.8,57.0,5.6,-1.2,0.0,0.0,7.0,21,0.0
3.2,0.0,6.5,55.0,4.2,-4.9,0.11,0.0,6.0,17,0.0
8.6,0.05,2.4,55.0,6.1,0.0,0.09,0.0,10.0,18,0.0
-1.1,0.0,0.6,57.0,3.2,-8.5,0.0,0.0,7.0,7,0.0
8.1,0.0,1.6,54.0,6.0,-0.2333333333333334,0.17,0.0,4.333333333333334,17,0.0
8.2,0.0,1.6,54.0,5.9,-0.5,1.29,0.0,0.0,14,0.0
-2.2,0.05,3.3,59.0,3.1,-9.1,0.06,0.0,10.0,10,0.0
4.8,0.0,2.1,58.0,5.0,-2.6666666666666665,0.0,0.0,0.0,5,0.0
-2.2,0.0,2.2,59.0,3.1,-9.1,0.19,0.0,7.0,8,0.0
-0.8,0.0,2.7,61.0,3.5,-7.3,0.0,0.0,7.333333333333333,20,0.0
1.4,0.0,2.6,60.0,4.1,-5.5,0.0,0.0,10.0,8,0.0
0.8,0.0,2.4,60.0,3.733333333333333,-6.800000000000001,0.12,0.0,0.0,8,0.0
8.3,0.0,3.6,53.0,5.9,-0.5,1.54,0.0,5.0,12,0.0
-0.1,0.0,0.4,59.0,3.6,-7.1,0.0,0.0,9.0,5,0.0
10.4,0.0,5.3,54.0,6.8,1.4,1.6,0.0,8.0,13,0.0
9.9,0.0,1.9,53.0,6.4,0.7,1.78,0.0,9.0,12,0.0
7.5,0.8333333333333334,2.5,57.0,5.9,-0.4,0.18,0.0,10.0,13,0.0
1.8,0.0,2.2,59.0,4.1,-5.3,0.0,0.0,0.0,23,0.0
-1.2,0.0,1.9,60.0,3.1,-8.966666666666667,0.63,0.0,0.0,10,0.0
5.8,0.0,2.5,53.0,4.9,-3.0,0.83,0.0,9.0,13,0.0
-0.5,0.0,4.3,58.0,3.4,-7.7,0.0,0.0,2.0,5,0.0
2.8,0.0,2.3,57.0,4.3,-4.8,0.0,0.0,9.0,2,0.0
2.7,0.0,1.1,56.0,4.2,-5.2,0.0,0.0,0.0,5,0.0
4.5,0.0,3.4,57.0,4.8,-3.2,0.0,0.0,5.333333333333334,2,0.0
-0.4,0.0,1.6,57.0,3.4,-7.8,0.8,0.0,0.0,10,0.0
6.2,0.0,4.2,53.0,5.0,-2.6,1.33,0.0,7.0,12,0.0
0.6,0.0,2.2,57.0,3.6,-6.9,0.0,0.0,6.0,3,0.0
6.1,0.0,1.0,56.0,5.3,-2.0,0.0,0.0,0.0,21,0.0
-1.0,0.0,0.8,59.0,3.3,-8.0,0.0,0.0,5.0,5,0.0
4.5,0.0,1.7,58.0,4.9,-3.0,0.0,0.0,7.0,3,0.0
-1.8,0.0,1.2,58.0,3.1,-8.9,0.0,0.0,7.0,8,0.0
4.7,0.0,2.2,57.0,4.9,-3.1,0.0,0.0,0.0,23,0.0
1.2,0.0,1.5,56.0,3.5,-7.633333333333334,1.15,0.0,0.0,11,0.0
4.6,0.0,3.1,56.0,4.8,-3.2,0.0,0.0,0.0,21,0.0
7.3,0.0,0.2,55.0,5.6,-1.1,0.0,0.0,10.0,4,0.0
5.0,0.0,2.6,57.0,5.0,-2.8,0.0,0.0,5.333333333333333,2,0.0
0.3,0.0,2.1,61.0,3.8,-6.3,0.0,0.0,4.0,21,0.0
7.2,0.0,1.6,53.0,5.4,-1.7,0.45,0.0,10.0,10,0.0
2.1,0.0,4.6,56.0,4.0,-5.7,0.31,0.0,1.0,17,0.0
8.5,0.0,1.0,57.0,6.033333333333333,-0.1666666666666666,0.09,0.0,6.0,8,0.0
7.5,0.0,2.1,53.0,5.5,-1.4,1.43,0.0,5.0,12,0.0
7.0,0.0,0.4,57.0,5.666666666666667,-0.9666666666666668,0.0,0.0,8.333333333333334,19,0.0
0.6,0.0,1.9,58.0,3.7,-6.7,0.0,0.0,7.0,3,0.0
9.2,0.05,1.3,56.0,6.5,0.8,1.65,0.0,6.0,12,0.0
3.4,0.0,0.9,56.0,4.4,-4.5,0.0,0.0,0.0,19,0.0
4.9,0.0,0.0,58.0,5.0,-2.6,0.0,0.0,3.6666666666666665,23,0.0
4.3,0.0,0.5,59.0,4.9,-3.0,0.0,0.0,10.0,19,0.0
0.0,0.0,2.3,56.0,3.4,-7.7,0.0,0.0,9.0,6,0.0
0.2,0.0,1.6,60.0,3.7,-6.6,0.0,0.0,0.0,21,0.0
7.3,0.0,2.4,57.0,5.8,-0.6,0.0,0.0,2.0,4,0.0
1.2,0.0,4.0,61.0,4.1,-5.5,0.22,0.0,8.0,17,0.0
5.8,0.0166666666666666,4.0,53.0,4.9,-3.0,0.2,0.0,10.0,13,0.0
0.4,0.0,2.6,58.0,3.6,-6.9,0.0,0.0,0.0,19,0.0
2.2,0.0,4.4,56.0,4.0,-5.6,0.0,0.0,0.0,5,0.0
4.7,0.0,2.8,56.0,4.8,-3.3,0.0,0.0,2.0,22,0.0
6.7,0.0,4.7,57.0,5.6,-1.2,0.0,0.0,7.0,21,0.0
-0.2,0.0,3.0,56.0,3.4,-7.9,1.61,0.0,5.0,13,0.0
1.5,0.0,4.2,58.0,4.0,-5.8,0.0,0.0,7.0,3,0.0
2.6,0.0,3.3,59.0,4.3,-4.6,0.0,0.0,5.0,4,0.0
5.2,0.0,4.8,55.0,4.9,-3.1,0.0,0.0,9.0,21,0.0
6.9,0.0,5.4,57.0,5.7,-1.0,0.02,0.0,8.666666666666666,19,0.0
-0.8,0.0,2.0,60.0,3.4,-7.7,0.16,0.0,0.0,9,0.0
3.7,0.0,1.1,60.0,4.8,-3.3,1.52,0.0,8.0,12,0.0
1.2,0.0,1.4,58.0,3.9,-6.1,0.0,0.0,4.0,23,0.0
-0.3,0.0,2.0,56.0,3.3,-8.0,0.02,0.0,8.0,8,0.0
-1.5,0.0,2.9,57.0,3.1,-8.9,1.35,0.0,8.0,13,0.0
2.8,0.05,1.1,54.0,4.0,-5.6,0.1,0.0,10.0,9,0.0
6.4,0.0,2.3,54.0,5.2,-2.2,0.42,0.0,3.0,17,0.0
3.4,0.0,2.4,60.0,4.7,-3.6,0.44,0.0,10.0,12,0.0
6.1,0.0,2.0,53.0,5.0,-2.7,0.66,0.0,6.0,11,0.0
-1.0,0.0,3.1,58.0,3.3,-8.2,0.0,0.0,10.0,18,0.0
-1.2,0.0,3.1,57.0,3.2,-8.6,0.0,0.0,8.0,7,0.0
0.9,0.0,2.7,55.0,3.6,-7.1,0.27,0.0,7.0,9,0.0
0.0,0.0,3.2,58.0,3.6,-7.2,0.0,0.0,0.0,5,0.0
6.0,0.0,0.9,57.0,5.2,-2.333333333333333,0.0,0.0,0.0,4,0.0
6.7,0.0,2.4,57.0,5.6,-1.2,0.0,0.0,7.0,3,0.0
2.4,0.0,4.2,56.0,4.1,-5.5,0.0,0.0,10.0,3,0.0
5.5,0.0,1.4,53.0,4.8,-3.3,1.22,0.0,9.0,12,0.0
0.3,0.0,1.9,57.0,3.6,-7.2,0.0,0.0,5.333333333333333,19,0.0
10.1,0.0,4.0,55.0,6.8,1.4,0.93,0.0,7.0,12,0.0
-0.1,0.0,3.3,58.0,3.5,-7.3,0.0,0.0,3.0,20,0.0
-0.4,0.0,0.8,57.0,3.4,-7.8,0.58,0.0,0.0,9,0.0
2.0,0.0,4.2,56.0,4.0,-5.8,0.0,0.0,5.333333333333333,19,0.0
1.4,0.0,2.7,55.0,3.7,-6.6,0.98,0.0,8.0,14,0.0
2.1,0.0,2.5,59.0,4.2,-5.0,0.0,0.0,8.0,4,0.0
-0.4,0.0,0.6,57.0,3.4,-7.8,0.45,0.0,0.0,9,0.0
3.0,0.0,2.0,60.0,4.5,-4.0,0.0,0.0,0.0,21,0.0
9.6,0.0,2.4,55.0,6.5,0.9,0.8,0.0,1.0,15,0.0
-2.0,0.0,3.6,59.0,3.1,-8.9,1.42,0.0,8.0,16,0.0
8.4,0.0,1.9,57.0,6.2,0.3,0.52,0.0,4.0,9,0.0
-2.0,0.05,0.7,59.0,3.1,-8.9,0.0,0.0333333333333333,10.0,7,0.0
-0.1,0.0,3.2,57.0,3.5,-7.6,0.22,0.0,5.0,18,0.0
4.7,0.0,2.3,58.0,5.0,-2.8,0.0,0.0,7.0,3,0.0
4.0,0.0,1.7,58.0,4.7,-3.5,0.0,0.0,3.0,3,0.0
4.5,0.0,1.0,56.0,4.8,-3.3,0.0,0.0,0.0,21,0.0
8.2,0.0,2.5,57.0,6.2,0.1,1.25,0.0,7.0,11,0.0
-1.8,0.0,3.2,59.0,3.2,-8.7,0.0,0.0,3.0,7,0.0
6.9,0.0,1.3,58.0,5.566666666666666,-1.3,0.0,0.0,8.333333333333334,7,0.0
1.3,0.0,1.4,59.0,4.0,-5.8,0.0,0.0,0.0,6,0.0
2.5,0.0,1.2,54.0,4.0,-5.6,0.41,0.0,10.0,12,0.0
5.2,0.0,4.0,59.0,5.2,-2.1,0.03,0.0,6.0,8,0.0
0.6,0.0,2.1,56.0,3.6,-7.1,0.0,0.0,6.0,4,0.0
4.6,0.0333333333333333,1.7,57.0,4.8,-3.2,0.0,0.0,9.0,2,0.0
0.0,0.0,2.5,58.0,3.6,-7.1,0.0,0.0,4.0,21,0.0
8.9,0.0,2.2,55.0,6.2,0.3,0.01,0.0,7.0,18,0.0
-0.7,0.0,4.4,59.0,3.4,-7.7,0.0,0.0,8.0,5,0.0
8.8,0.0,2.4,56.0,6.1,-0.1,0.0,0.0,6.0,4,0.0
5.5,0.0,4.5,54.0,4.9,-3.0,0.69,0.0,1.0,15,0.0
3.8,0.0,2.6,60.0,4.8,-3.2,0.02,0.0,0.0,18,0.0
0.3,0.0,3.0,60.0,3.8,-6.5,0.0,0.0,9.0,6,0.0
4.2,0.0,1.1,59.0,4.9,-3.1,0.0,0.0,6.0,22,0.0
5.4,0.0,3.1,54.0,4.9,-3.1,0.33,0.0,2.0,8,0.0
0.4,0.0,2.1,57.0,3.6,-7.1,0.0,0.0,6.0,3,0.0
5.3,0.0,3.0,53.0,4.7,-3.5,0.21,0.0,10.0,12,0.0
7.3,0.0,0.6,56.0,5.7,-0.9,0.0,0.0,6.0,21,0.0
2.4,0.0,2.1,60.0,4.4,-4.5,0.06,0.0,6.0,8,0.0
1.1,0.0,3.5,57.0,3.8,-6.4,0.0,0.0,8.0,21,0.0
3.1,0.0,5.4,55.0,4.2,-5.0,0.0,0.0,6.0,5,0.0
3.3,0.0,3.4,56.0,4.3,-4.6,0.02,0.0,0.0,19,0.0
5.0,0.0,1.6,56.0,4.9,-3.0,0.0,0.0,6.0,23,0.0
5.9,0.0,4.7,57.0,5.3,-1.9,0.0,0.0,0.0,22,0.0
1.1,0.0,3.5,60.0,4.0,-5.8,0.0,0.0,1.0,7,0.0
5.0,0.0,3.4,54.0,4.966666666666667,-2.833333333333333,0.17,0.0,3.0,17,0.0
-2.1,0.0,2.4,59.0,3.1,-9.0,0.41,0.0,3.0,9,0.0
-0.3,0.0,0.7,57.0,3.4,-7.8,0.29,0.0,0.0,8,0.0
5.9,0.0,1.3,59.0,5.5,-1.5,1.49,0.0,7.0,12,0.0
7.5,0.0,4.9,53.0,5.5,-1.4,1.39,0.0,7.0,14,0.0
2.3,0.0,5.2,56.0,4.1,-5.5,0.0,0.0,3.6666666666666665,19,0.0
8.6,0.0,2.2,56.0,6.2,0.3,0.26,0.0,9.0,16,0.0
5.6,0.0,1.8,59.0,5.4,-1.7,1.57,0.0,0.0,11,0.0
2.7,0.0,0.5,60.0,4.4,-4.3,0.18,0.0,10.0,10,0.0
9.8,0.0,3.6,53.0,6.566666666666667,1.0666666666666669,2.05,0.0,6.0,13,0.0
-1.9,0.0,3.3,58.0,3.1,-9.0,0.01,0.0,6.0,8,0.0
-0.6,0.0,0.1,61.0,3.333333333333333,-8.033333333333333,0.34,0.0,10.0,10,0.0
9.5,0.0,2.8,54.0,6.4,0.6,1.55,0.0,0.0,10,0.0
1.8,0.0,3.4,56.0,4.1,-5.433333333333334,0.0,0.0,9.0,20,0.0
8.1,0.0,3.7,57.0,6.1,0.0,0.75,0.0,8.0,12,0.0
1.5,0.0,2.0,56.0,3.8,-6.3,0.0,0.0,0.0,5,0.0
1.0,0.0833333333333333,0.7,61.0,3.833333333333333,-6.5,0.55,0.0333333333333333,8.0,11,0.0
0.7,0.0333333333333333,2.6,61.0,3.9,-5.9,0.0,0.0,9.0,20,0.0
6.5,0.0,2.0,53.0,5.1,-2.4,0.21,0.0,10.0,10,0.0
8.8,0.0,0.7,55.0,6.2,0.2,0.0,0.0,10.0,5,0.0
1.0,0.0,2.7,59.0,3.9,-6.1,0.0,0.0,8.0,4,0.0
6.1,0.0,4.4,54.0,5.333333333333333,-2.0666666666666664,0.0,0.0,9.333333333333334,19,0.0
2.8,0.0,1.8,60.0,4.5,-4.2,0.0,0.0,7.0,22,0.0
-1.2,0.0,2.3,61.0,3.4,-7.7,0.39,0.0,4.0,9,0.0
-0.6,0.0333333333333333,3.1,56.0,3.3,-8.3,0.22,0.0,9.0,10,0.0
6.1,0.0333333333333333,3.5,53.0,5.0,-2.7,0.16,0.0,10.0,14,0.0
6.5,0.0,3.9,53.0,5.1,-2.4,0.75,0.0,7.0,10,0.0
4.4,0.0,1.2,59.0,5.033333333333333,-2.7333333333333334,0.42,0.0,0.0,8,0.0
3.2,0.0,0.2,60.0,4.6,-3.8,0.0,0.0,8.0,20,0.0
6.1,0.0,5.2,58.0,5.5,-1.5,0.0,0.0,0.0,20,0.0
7.6,0.0,4.9,57.0,6.0,-0.3,0.8,0.0,7.0,17,0.0
3.2,0.0333333333333333,2.2,59.0,4.5,-4.0,0.0,0.0,10.0,23,0.0
1.3,0.0,1.3,57.0,3.8,-6.2,0.0,0.0,5.0,21,0.0
10.4,0.0,4.1,54.0,6.8,1.4,0.64,0.0,10.0,13,0.0
-1.1,0.0,1.2,60.0,3.4,-7.8,0.04,0.0,1.0,8,0.0
1.0,0.0,6.6,61.0,4.0,-5.6,0.68,0.0,7.0,15,0.0
7.6,1.5,2.3,57.0,6.0,-0.3,0.33,0.0,10.0,13,0.0
-0.3,0.0,2.4,59.0,3.5,-7.3,0.01,0.0,0.0,19,0.0
-1.4,0.0,3.6,61.0,3.4,-7.9,0.33,0.0,3.0,9,0.0
4.7,1.5,2.5,59.0,5.0,-2.6,0.0,0.0,0.0,21,0.0
0.2,0.0,2.3,58.0,3.433333333333333,-8.266666666666666,0.0,0.0,3.666666666666667,20,0.0
4.8,0.0,3.2,59.0,5.0,-2.6,0.0,0.0,0.0,21,0.0
5.9,0.0,1.8,55.0,5.1,-2.4,0.0,0.0,5.0,21,0.0
4.1,0.0,1.5,57.0,4.7,-3.6,0.0,0.0,10.0,2,0.0
7.9,0.0,1.8,56.0,6.0,-0.3,0.0,0.0,10.0,19,0.0
6.7,0.0,5.5,53.0,5.2,-2.2,1.27,0.0,6.0,13,0.0
-0.1,0.0,0.4,60.0,3.6,-6.9,0.0,0.0,9.0,6,0.0
0.1,0.0,1.2,60.0,3.7,-6.7,0.15,0.0,0.0,8,0.0
6.4,0.0,1.1,59.0,5.333333333333334,-1.9333333333333331,0.78,0.0,8.0,13,0.0
